Username,Konten,Lokasi
doncharbone,"@democrazymedia Coba tanya Hasto min, apa bu Mega sedang mempersiapkan pasangan pak Prabowo &amp; mbak Puan Maharani?",
JatengTV,"(03) Pemilik PT Perorangan menjadi pemeran utama dalam mengatur kebijakan perusahaannya, termasuk dalam hal pengolahan data dan keuangan. #ptperorangan #sange #ciptakerja #indonesia #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue","Semarang, Jawa Tengah"
AndisBoga,"@FaGtng @DPR_RI Karena tdk disewa maka mahasewapun diam seribu basa.
Ketua MPR @puanmaharani_ri pun tiada suaranya, pdhl momen bagus utk menaikan elektabilitasnya... https://t.co/DBQhhgeML5",
mfthazm,@andrilixx @puanmaharani_ri #SahabatGanjarCiamis,dimana Weh moal bebeja
ExRaa25,@baejoolit Sorry tapi aku bacanya puan maharani :(,
iniakulo10,@baejoolit maap si aku bacanya “temannya puan maharani”😭🙏🏻,
tvOneNews,Ratusan Petani Hingga Masyarakat di Bondowoso Serukan Dukungan Untuk Puan Maharani Maju di 2024 https://t.co/5I8cbEoDMw,Pulo Gadung
Rahmanaziz04,"@Samuder53291026 @prabowo @aniesbaswedan @puanmaharani_ri Assalamualaikum Merdeka
DPW Republik Sulawesi Selatan",
z_soleh,@HeriFirdausas @jokowi @prabowo @mohmahfudmd @titokarnavian_ @KemensosRI @puanmaharani_ri @cakimiNOW 🙏🙏🙏,Tazik - Batavia
idenesiaid,"Gaya Puan Maharani berbalut batik saat di New York
https://t.co/3zko7wUIvh","Kota Makassar, Sulawesi Selata"
RCikboy,"@Gadisbaw3l Lgsg temui sj ke rmhnya, minta temani mbak @puanmaharani_ri",
HeriFirdausas,@z_soleh @jokowi @prabowo @mohmahfudmd @titokarnavian_ @KemensosRI @puanmaharani_ri @cakimiNOW Mantap Ji,"Bogor, Jawa Barat"
PUANnews,"#Puan Maharani Tidak Akan Nyaman jika Dipasangkan dengan ... - RMOL 
#PuanMaharani

https://t.co/u2hOWUKefg","Gatakrejo, Nguter, Sukoharjo"
JatengTV,(07) Kelebihan lainnya dari PT Peroangan adalah mendapatkan prioritas dalam mengakses berbagai program pemerintah yang dikhususkan untuk UMKM. #ptperorangan #badanhukum #badanusaha #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
septiandedek,"Kita lg ngobrol trus ada ribut2 suara gitu dr tmpt rumah warga yg di tabrak rumahnya td, kita mendekatlaah, sesampainya kita (ini parah nih) ternyata ada buk Puan Maharani hahaha
Dia lagi ngobrol sama yg punya rumah sambil marah2 jg sm kita seolah kita yg salah,",
The_Takank,"@akarkangkung_ @puanmaharani_ri Wah lu ngatain beliau ya?
Nih ambil dlu https://t.co/dOETLPBmWK",Banjarmasin 😌
akarkangkung_,@The_Takank @puanmaharani_ri Brgsk,Hatimu
The_Takank,@akarkangkung_ Halo bu @puanmaharani_ri https://t.co/L9UnWliGXC,Banjarmasin 😌
