Judul,Konten
"Yasonna Jelaskan Pasal Zina KUHP Baru, Minta Turis Asing Tak Khawatir","""Tampaknya pelintirannya terlalu jauh. Saya perlu sampaikan hubungan extra marital sex itu adalah delik aduan,"" ucap Menkumham Yasonna Laoly."
Puan Minta Polisi Usut Tuntas Bom Bunuh Diri di Polsek Astana Anyar,Ketua DPR RI Puan Maharani meminta Polri untuk mengusut tuntas bom bunuh diri di Polsek Astana Anyar. Dia mengatakan peristiwa serupa tak boleh terulang.
"Dicurhati WNI Overstay, Puan Janji Dukung Pasporisasi Diperpanjang",Ketua DPR Puan Maharani yang mendengar curhat para WNI overstay mengaku siap mendukung jika Kemenkumham dan KJRI Jeddah ingin memperpanjang program pasporisasi.
Puan Cek Pasporisasi WNI Overstay di Saudi: Antrenya Lama Nggak?,Puan mengecek layanan Pasporisasi bagi WNI yang overstay di Arab Saudi. Puan pun bertanya soal layanan pasporisasi ke para WNI yang mengikuti program ini.
"Survei Capres LSJ: Prabowo Tembus 30%, Anies 20,5% dan Ganjar 19,7%","Lembaga Survei Jakarta (LSJ) merilis survei calon presiden (capres) di 2024. Hasilnya, elektabilitas Ketum Partai Gerindra Prabowo Subianto 32,3 persen."
Puan Dorong UMKM RI Diperkuat agar Jadi 'Raja' di Negeri Sendiri,"Menurutnya, hal tersebut didasari karena UMKM memiliki kontribusi yang besar terhadap perekonomian dan penyerapan tenaga kerja di Indonesia."
Puan Tegaskan Pentingnya Suara Perempuan dalam Keputusan Kebijakan,Menurutnya hal ini bisa menambah perspektif kebijakan publik sehingga kebijakan tersebut bisa bermanfaat bagi seluruh masyarakat.
Resmi RKUHP Jadi UU Meski Diwarnai Interupsi,"RKUHP resmi disahkan oleh DPR RI jadi Undang-undang (UU). Meski begitu, proses pengesahan KUHP baru dalam rapat paripurna tersebut ternyata diwarnai interupsi."
RKUHP yang Kontroversial Akhirnya Sah Jadi Undang-undang Setelah 62 Tahun,RKUHP resmi disahkan DPR per Selasa (6/12/2022) meski diwarnai sejumlah kontroversi. Pengesahan itu juga dilakukan 62 tahun berlalu sejak 1960 silam.
Pengesahan RKUHP oleh DPR Jadi Sorotan Media Internasional,RKUHP resmi disahkan menjadi undang-undang oleh DPR RI hari ini. Pengesahan RKUHP tersebut ternyata jadi sorotan media asing.
Puan Ajak Pemuda Terapkan Ajaran Trisakti Bung Karno & Gotong Royong,Ketua DPR RI Puan Maharani mengajak kaum muda untuk menerapkan prinsip Trisakti Bung Karno.
Puan Dorong Perempuan Berani Jadi Pemimpin: Jangan Merasa Tidak Bisa,"Menurut Puan, perempuan harus menjauhi pikiran bahwa perempuan tidak bisa jadi pemimpin."
Wamenkum soal Pengesahan RKUHP: 59 Tahun Terburu-buru? Debat dengan Kami,"Wakil Menteri Hukum dan HAM, Edward Omar Sharif Hiariej, tak terima jika pengesahan RKUHP dikesankan terburu-buru. Pasalnya, prosesnya sudah 59 tahun."
Kawat Berduri Terpasang di Depan DPR Jelang Aksi Penolakan RKUHP,Sejumlah elemen masyarakat berencana melakukan aksi menolak pengesahan RKUHP di depan gedung DPR. Kawat berduri telah terpasang di depan gedung DPR.
DPR Resmi Sahkan RKUHP Jadi UU,"DPR RI resmi mengesahkan RKUHP menjadi UU. Meski demikian, pengesahan itu sempat diwarnai perdebatan alot dengan PKS."
Menkumham Yasonna: Kita Patut Bangga Punya KUHP Sendiri,DPR RI resmi mengesahkan RUU KUHP menjadi UU. Menkumham Yasonna mengatakan hal itu patut dibanggakan karena RI memiliki KUHP sendiri.
"Tok! DPR RI Sahkan RKUHP Jadi UU, Anggota Fraksi PKS Keluar",Akhirnya DPR RI mengesahkan RKUHP menjadi undang-undang dalam paripurna. Meski sempat ada perdebatan panas dan penolakan dari berbagai pihak.
285 Anggota Dewan Absen Saat RKUHP Disahkan Jadi UU,DPR menggelar rapat paripurna pengesahan RKUHP menjadi undang-undang. Sebanyak 285 anggota Dewan absen dalam rapat tersebut.
DPR RI Sahkan RKUHP Jadi Undang-undang!,DPR RI resmi mengesahkan Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP) menjadi undang-undang.
"WO Paripurna, Legislator PKS Tolak Pasal Penghinaan Presiden di RKUHP",Anggota Komisi VIII DPR RI Fraksi PKS Iskan Qolba Lubis walk out (WO) saat rapat paripurna pengesahan RKUHP. Dia menolak pasal penghinaan presiden.
"Diwarnai Interupsi Panas dari PKS, DPR Sahkan RKUHP Jadi UU",Ketua Komisi III DPR Bambang Wuryanto atau Bambang Pacul menyampaikan laporan pembahasan RKUHP bersama pemerintah sebelum disetujui rapat paripurna DPR RI.
Pengamat Sebut Puan Sebagai Capres adalah Harga Mati Bagi PDIP,Pengamat politik Adi Prayitno menilai PDIP akan serius mencapreskan Puan Maharani di 2024.
Guru Besar UPI Nilai Sosok Ridwan Kamil Berbeda dengan Puan-Ganjar-Anies,"Guru Besar Komunikasi Politik UPI menilai Ridwan Kamil punya sisi berbeda dibandingkan Puan Maharani, Ganjar Pranowo, dan Anies Baswedan. Apa itu?"
"Tiba di Jeddah, Puan Bakal Tinjau Pasporisasi WNI Overstay","Ketua DPR RI Puan Maharani melakukan kunjungan kerja ke Jeddah, Arab Saudi. Puan bakal mengecek proses pasporisasi bagi WNI yang overstay di Saudi."
Guru Besar UPI Sebut Sosok Ridwan Kamil Beda dengan Puan-Ganjar-Anies,"Guru Besar Komunikasi Politi UPI Karim Suryadi menilai sosok Ridwan Kamil berbeda dengan Puan, Ganjar dan Anies."
Puan Maharani Harap IKN Jadi Simbol Nasional & Acuan Dunia,Pembangunan Ibu Kota Negara (IKN) Nusantara diharapkan dapat menjadi penggerak ekonomi Indonesia di masa depan.
Asa Puan bagi Pebisnis Muda: Bangun Daya Saing & Perkuat Ekonomi RI,"Karenanya, ia berharap para pengusaha muda bisa bekerja sama, bergotong royong dalam membangun kemajuan bangsa."
AJI Denpasar Gelar Aksi Tunggal Tolak 17 Pasal 'Pembungkam' Pers,"Aliansi Jurnalis Independen (AJI) Denpasar menggelar demonstrasi berupa aksi tunggal pada Senin (5/12/2022) di depan monumen Bajra Sandhi, Jalan Raya Puputan."
Dalam Labirin Koalisi,"Relasi antara presidensialisme, koalisi politik, dan multipartai bukanlah relasi yang permanen, tetapi relasi sementara yang kapan saja bisa berubah."
"Isu Jokowi Bakal Bertindak Jika Suara Capres Tak Capai 30%, Begini Surveinya",Elite PKB Faisol Riza yakin Jokowi bakal ambil langkah serius jika suara capres tak capai 30% di survei. Begini update terkini survei para tokoh capres.
"Temui Pimpinan Parlemen Qatar, Puan Dorong Peningkatan Investasi di RI",Ketua DPR RI Puan Maharani melakukan pertemuan bilateral dengan Ketua Majelis Syuro Qatar Hassan bin Abdullah Al-Ghanim.
"Hasil Survei MIPOS: 65,8% Publik Pilih Duet Prabowo-Ganjar di 2024","Hasil survei MIPOS menunjukkan sebanyak 47,9% responden setuju jika pasangan Prabowo-Ganjar duet di 2024."
Duet Prabowo-Ganjar Ungguli Anies-AHY di Survei MIPOS,"MIPOS merilis hasil simulasi head to head capres dan cawapres di 2024. Hasilnya, pasangan Prabowo Subianto-Ganjar Pranowo unggul dibanding calon lain."
"Survei MIPOS: 65,8% Responden Setuju Duet Prabowo Ganjar di 2024",MIPOS melakukan survei terkait pasangan capres dalam Pemilu 2024. Mayoritas responden setuju jika Prabowo Subianto dan Ganjar Pranowo berduet di 2024.
"Survei MIPOS: Prabowo 32,4%, Ganjar vs Anies Ketat","MIPOS melakukan survei terkait elektabilitas para kandidat capres Pemilu 2024. Berdasarkan hasil survei, elektabilitas Prabowo Subianto tertinggi dengan 32,4%."
Momen Prabowo-Puan Hadiri Pengukuhan Dasco Jadi Guru Besar Universitas Pakuan,"Wakil Ketua DPR, Sufmi Dasco Ahmad resmi dikukuhkan sebagai Guru Besar Bidang Ilmu Hukum Universitas Pakuan."
"Survei Cawapres Indikator: RK Teratas, Erick Thohir Makin Menguat","Lembaga survei Indikator Politik Indonesia merilis survei elektabilitas cawapres. Hasilnya, RK tertinggi, sedangkan elektabilitas Erick Thohir juga menguat."
Puan Paparkan Pentingnya Kolaborasi DPR-Pengusaha untuk Perkuat Ekonomi,"Dalam hal ini, Puan menyebut DPR turut memegang peranan penting dalam mendorong pengusaha. Mengingat, semua kebijakan perlu persetujuan DPR."
"Puan: UMKM Bukan Hanya yang Menengah, tapi Juga Wong Cilik",Puan menilai meningkatkan sektor UMKM menjadi salah satu upaya dalam menggenjot perekonomian nasional.
"Genjot Ekonomi, Puan Dorong Pengusaha Besar Sinergi dengan UMKM",Puan menilai peran UMKM sangat penting bagi keberlangsungan perekonomian nasional.
Puan Dorong Wisudawati UBK Raih Mimpi: Jangan Mau Kalah dari Laki-laki!,Ketua DPR RI Puan Maharani mendorong lulusan Universitas Bung Karno (UBK) agar tidak takut dalam meraih mimpi.
Posisi Puan di DPR Disebut Buka Peluang Wanita Berkiprah di Politik,"Peneliti di Pusat Riset Politik, Badan Riset dan Inovasi Nasional (BRIN) Luky Sandra Amalia memuji kinerja Ketua DPR RI Puan Maharani."
"Profil Sufmi Dasco Ahmad, Pimpinan DPR yang Dikukuhkan Jadi Guru Besar","Profil Sufmi Dasco Ahmad, Wakil Ketua DPR RI kini telah resmi dikukuhkan sebagai Guru Besar Bidang Ilmu Hukum Universitas Pakuan pada Kamis (1/12/2022)."
Survei Indikator Politik: Ridwan Kamil Melejit di Bursa Cawapres,Indikator PolitikIndonesia merilis hasil survei terkait elektabilitas tokoh yang masuk bursa cawapres 2024. Hasilnya Ridwan Kamil berada di posisi teratas.
"Survei Indikator Politik: Ganjar Teratas tapi Tren Suara Turun, Anies Kedua",Indikator Politik Indonesia merilis hasil survei terkait elektabilitas tokoh yang masuk bursa capres 2024. Hasilnya Anies Baswedan menempati posisi teratas.
"Kaesang Nikah, Kadishub Klaten Kaji Aturan Operasional Truk Pasir","""Itu (penghentian truk pasir) nanti kita kaji,"" kata Kadishub Klaten Supriyono ketika ditanya soal operasional truk pasir saat pernikahan putra bungsu Jokowi."
Waka DPR Sufmi Dasco Dikukuhkan Jadi Guru Besar Ilmu Hukum Universitas Pakuan,Wakil Ketua DPR Sufmi Dasco resmi dikukuhkan sebagai Guru Besar Ilmu Hukum Universitas Pakuan. Pengukuhan itu dilakukan oleh Rektor Universitas Pakuan.
Prabowo hingga Kapolri Hadiri Pengukuhan Guru Besar Pimpinan DPR Dasco,Menhan RI sekaligus Ketua Umum Partai Gerindra Prabowo Subianto hingga Kapolri Jenderal Listyo Sigit Prabowo hadir dalam pengukuhan guru besar Sufmi Dasco.
Puan Jabarkan Cara Tingkatkan Perekonomian Bangsa melalui Pasar Nasional,Puan Maharani mengatakan Indonesia membutuhkan pasar nasional yang kondusif untuk memperkuat dan menumbuhkan perekonomian bangsa.
Puan Harap Kerja Sama Antar Parlemen RI-Kamboja Terus Ditingkatkan,Puan mengungkapkan Indonesia bermaksud untuk berinvestasi dalam proyek pengembangan moda transportasi kereta api guna mendukung konektivitas Kamboja.
"Orasi Ilmiah di Wisuda UBK, Ini Pesan Puan untuk Para Sarjana","Dalam kesempatan itu, ia mengajak para wisudawan/wisudawati untuk berpartisipasi membangun Indonesia."
"Musra Hong Kong Relawan Jokowi: Ganjar Capres Terkuat, Airlangga Cawapres",Musyawarah Rakyat Indonesia (Musra) Hong Kong yang digelar relawan Presiden Joko Widodo (Jokowi) menghasilkan capres dan cawapres andalan jelang Pemilu 2024.
Dansa Politik Jokowi di GBK,Manuver politik Jokowi di GBK dianggap gimik unjuk kekuatan dukungan yang menyaingi PDI Perjuangan.
"Sebut Ada Kesamaan Nilai, Puan Sambut Baik Hubungan RI-AS",Ketua DPR RI Puan Maharani menyambut baik hubungan bilateral antara Indonesia dengan Amerika Serikat yang terus berjalan positif di tengah dinamika geopolitik.
"Duet Prabowo-Cak Imin Unggul di Survei Median, PKB Optimistis Tatap 2024",PKB optimis tatap Pemilu 2024 karena duet Prabowo dan Cak Imin unggul di simulasi head to head capres dan cawapres untuk Pemilu 2024 hasil survei Median.
Rotasi Matra di Balik Alasan Jokowi Pilih KSAL Jadi Panglima,KSAL Laksamana Yudo Margono telah diajukan Presiden Jokowi ke DPR RI untuk menggantikan Jenderal Andika Perkasa menjadi Panglima TNI. Apa alasannya?
Legislator PAN Sebut Calon Panglima TNI Yudo Margono Punya PR Amankan Pemilu,Legislator PAN Rizki Sadig menilai pemilihan Yudo Margono sebagai calon Panglima TNI tepat. Dia menyebut Yudo punya PR mempersiapkan pengamanan jelang pemilu.
"Perkuat Ketahanan RI, Puan Dukung Pemenuhan MEF TNI AL","Ketua DPR RI Puan Maharani akan terus mendukung kemajuan alutsista TNI, termasuk kapal-kapal laut milik TNI AL."
"Elektabilitas Prabowo Nomor Wahid di Jatim, Ungguli Ganjar dan Anies",Elektabilitas Prabowo Subianto sebagai capres mengungguli Ganjar Pranowo di Jatim. Hal itu berdasarkan survei terbaru capres.
"Survei Litbang Sin Po: Pilpres 2024 2 Paslon, Prabowo Pemenangnya",Survei ini mengadu kekuatan Prabowo Subianto dengan Gubernur Jawa Tengah Ganjar Pranowo hingga mantan gubernur DKI Jakarta Anies Baswedan.
Simulasi Charta Politika: Angka Ganjar-Prabowo Sangat Tinggi,Charta Politika melakukan simulasi agak berbeda dengan memasangkan Gubernur Jawa Tengah Ganjar Pranowo dan Ketum Partai Gerindra Prabowo Subianto.
Kata Komisi I DPR soal Jadwal Fit and Proper Test Calon Panglima TNI Yudo,Komisi I DPR mengungkap progres pelaksanaan fit and proper test Laksamana Yudo Margono sebagai calon Panglima TNI.
"Survei Capres Charta Politika: Ganjar 32,6%, Anies 23,1% dan Prabowo 22%","Charta Politika Indonesia merilis hasil survei elektabilitas capres 2024. Hasilnya, Ganjar Pranowo unggul daripada Anies Baswedan dan Prabowo Subianto."
Puan Kenang Hubungan 'Mesra' RI-Kamboja di Masa Lalu,Hubungan dekat antara Indonesia dan Kamboja di masa lalu perlu ditumbuhkan melalui program kerja sama yang dapat saling menguntungkan.
Puan Sebut DPR Siap Tindaklanjuti KSAL Yudo Margono Jadi Panglima TNI,DPR akan menindaklanjuti terkait dengan mekanisme pergantian atau pengangkatan Panglima TNI yang baru.
Duet Prabowo-Cak Imin Unggul Lawan Semua Paslon di Survei Median,"Lembaga survei Median merilis hasil simulasi head to head capres-cawapres di 2024. Hasilnya, paslon Prabowo dan Cak Imin mengalahkan semua paslon."
"Survei Median: Elektabilitas Prabowo Tertinggi, Anies vs Ganjar Beda 0,1%","Median melakukan rilis survei elektabilitas tokoh calon presiden dan wakil presiden 2024. Hasilnya elektabilitas Prabowo berada di urutan pertama dengan 24,2%."
Pakar Politik UGM: 'Endorsemen' Pemimpin Rambut Putih Jokowi Belum Final,"Menurut pakar politik UGM Wawan Mas'udi, 'endorsemen' terhadap 'pemimpin merakyat yang berambut putih' oleh Presiden Jokowi itu belum final."
Siapa Calon Panglima TNI? Ini Sosok Laksamana Yudo Margono,Siapa calon Panglima TNI sekarang? KSAL Laksamana Yudo Margono diajukan sebagai calon panglima TNI pengganti Jenderal Andika. Ini profil Laksamana Yudo Margono
Sosok Calon Panglima TNI Kelahiran Madiun Pengganti Jenderal Andika,"Kepala Staf Angkatan Laut (KSAL) Laksamana Yudo Margono menyita perhatian, setelah diajukan menjadi calon Panglima TNI. Yuk mengenal Laksamana Yudo lebih jauh!"
"Intip Garasi Calon Panglima TNI Yudo Margono: Ada Fortuner, Pajero, Alphard","Laksamana Yudo Margono resmi ditetapkan sebagai calon Panglima TNI. Bicara soal koleksi otomotif, kendaraan apa saja yang ada di garasi rumah Laksamana Yudo?"
3 Fakta Laksamana Yudo Calon Panglima TNI Pengganti Jenderal Andika,Jokowi resmi mengajukan nama KSAL Laksamana Yudo Margono sebagai calon Panglima TNI menggantikan Jenderal Andika Perkasa. Yudo akan menjalani uji kepatutan.
"Calon Kuat Panglima TNI Baru, Yudo Margono Bakal Dapat Gaji-Tunjangan Segini",KSAL Laksamana Yudo Margono akan menjadi calon panglima TNI dan menggantikan Panglima TNI Jenderal Andika Perkasa yang memasuki masa pensiun.
Profil KSAL Laksamana Yudo Margono Calon Panglima TNI,DPR dan Kemensetneg mengumumkan KSAL Laksamana Yudo Margono sebagai calon Panglima TNI menggantikan Jenderal Andika Perkasa. Berikut ini profil Laksamana Yudo.
Momen Puan Bikin Penasaran Saat Umumkan Calon Panglima TNI Yudo,"Puan Maharani sempat membuat penasaran di detik-detik dirinya hendak membacakan nama calon panglima TNI yang baru, yaitu Laksamana Yudo Margono."
Yudo Margono Diusulkan Jadi Calon Panglima TNI,KSAL Laksamana Yudo Margono diusulkan menjadi calon panglima TNI menggantikan Andika Perkasa. Hal tersebut diumumkan DPR RI bersama Kemensetneg.
KSAL Laksamana Yudo Margono Resmi Jadi Calon Panglima TNI,Ketua DPR RI Puan Maharani mengumumkan KSAL Laksamana Yudo Margono sebagai calon Panglima TNI menggantikan Jenderal Andika Perkasa.
Jawaban Singkat Puan soal Kode Jokowi 'Pemimpin Rambut Putih',Ketua DPR RI sekaligus elite PDIP Puan Maharani merespons heboh soal 'pemimpin rambut putih' yang disampaikan Presiden Joko Widodo (Jokowi).
Pemerintah Harap Proses Calon Panglima TNI di DPR Selesai Sebelum 15 Desember,Pemerintah berharap proses pergantian Panglima TNI di DPR dapat selesai sebelum DPR memasuki masa reses pada 15 Desember.
